 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"316556 SEM-PEIXE";-;2;-;1;-;1;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;9
"316557 SENADOR AMARAL";2;1;1;1;1;-;2;1;1;1;1;-;-;2;-;2;1;-;3;1;1;-;1;1;2;1;1;28
"316560 SENADOR CORTES";1;-;-;-;1;-;-;-;-;-;1;1;-;-;2;1;1;1;2;-;-;1;1;1;2;-;-;16
"316570 SENADOR FIRMINO";6;4;4;1;3;-;1;4;3;3;2;1;1;2;4;1;3;1;-;-;1;1;2;1;-;1;2;52
"316580 SENADOR JOSE BENTO";-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;1;-;-;-;6
"316590 SENADOR MODESTINO GONCALVES";-;1;-;1;2;2;2;1;-;-;-;-;1;3;2;1;1;-;-;1;-;-;-;-;1;-;3;22
"316600 SENHORA DE OLIVEIRA";3;1;3;2;1;1;-;1;1;2;2;1;-;1;1;1;1;1;1;-;-;3;1;1;-;2;2;33
"316610 SENHORA DO PORTO";-;-;2;2;3;2;2;1;1;4;-;-;1;1;2;1;1;-;1;2;2;-;-;1;-;-;-;29
"316620 SENHORA DOS REMEDIOS";2;2;2;2;3;1;2;1;1;3;6;-;1;1;1;1;1;1;-;-;-;1;1;1;2;2;1;39
"316630 SERICITA";6;6;4;5;3;5;4;1;4;2;7;4;3;2;3;1;-;1;-;2;2;-;1;-;1;1;-;68
"316640 SERITINGA";-;-;-;-;1;2;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;8
"316650 SERRA AZUL DE MINAS";5;3;2;3;1;7;1;2;3;3;2;2;2;1;1;2;2;-;2;3;2;-;1;-;1;1;-;52
"316660 SERRA DA SAUDADE";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316670 SERRA DOS AIMORES";6;3;12;-;2;1;2;3;6;5;3;4;5;1;-;-;2;2;1;1;-;1;1;1;1;1;2;66
"316680 SERRA DO SALITRE";3;5;2;8;5;3;1;1;3;1;3;2;4;-;2;-;3;1;-;2;1;2;2;2;4;2;1;63
"316690 SERRANIA";2;4;5;5;5;2;3;7;3;4;2;4;3;-;2;1;1;4;5;1;-;-;4;2;-;-;-;69
"316695 SERRANOPOLIS DE MINAS";-;-;1;-;1;2;-;1;1;1;1;-;-;2;1;-;-;1;1;3;-;-;-;1;3;1;-;21
"316700 SERRANOS";1;-;-;-;2;-;1;1;-;-;1;-;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;11
"316710 SERRO";10;14;5;6;6;6;7;6;7;5;6;2;3;5;4;4;4;6;3;6;1;4;1;5;2;2;2;132
"316720 SETE LAGOAS";106;89;97;65;77;65;54;56;40;48;48;43;50;32;41;33;46;35;29;35;32;33;30;37;23;25;38;1307
"316730 SILVEIRANIA";1;1;2;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;12
"316740 SILVIANOPOLIS";3;1;1;1;3;-;-;1;2;1;-;1;1;2;1;1;-;-;2;1;1;-;2;-;-;-;1;26
"316750 SIMAO PEREIRA";-;-;2;1;-;1;4;-;-;-;-;3;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;14
"316760 SIMONESIA";6;9;7;8;5;2;6;7;2;4;5;5;5;1;5;3;4;5;4;8;2;2;6;5;1;3;5;125
"316770 SOBRALIA";-;1;2;-;2;1;1;-;1;3;-;1;2;2;1;-;-;1;1;-;1;3;1;1;-;1;-;26
"316780 SOLEDADE DE MINAS";-;3;-;1;1;1;-;-;-;1;2;-;1;-;-;-;1;-;1;1;-;-;-;-;1;2;-;16
"316790 TABULEIRO";2;4;3;1;2;2;1;-;1;-;-;2;1;1;-;-;-;-;-;-;3;-;-;1;-;-;2;26
"316800 TAIOBEIRAS";15;26;31;17;18;8;15;11;9;10;7;7;9;6;7;3;5;2;2;2;5;10;3;4;1;3;8;244
"316805 TAPARUBA";-;-;-;-;1;1;2;2;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;9
"316810 TAPIRA";-;-;-;1;1;1;-;1;-;-;-;-;-;1;1;1;-;-;1;-;1;-;-;-;1;1;-;11
"316820 TAPIRAI";-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;4
"316830 TAQUARACU DE MINAS";-;-;1;1;1;-;-;-;1;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;9
"316840 TARUMIRIM";7;6;7;3;8;5;1;1;5;3;5;1;2;2;2;5;-;3;3;1;1;1;1;3;1;2;1;80
"316850 TEIXEIRAS";3;5;9;3;5;9;3;1;4;3;1;4;-;1;1;1;1;-;1;-;-;1;-;2;1;-;1;60
"316860 TEOFILO OTONI";47;42;38;70;20;32;57;66;66;47;46;45;42;43;40;45;30;31;33;24;32;36;27;22;25;34;28;1068
"316870 TIMOTEO";27;23;23;15;36;25;29;20;22;17;18;12;16;19;19;18;13;15;11;14;12;4;6;5;8;8;5;440
"316880 TIRADENTES";8;2;-;-;-;2;1;1;2;3;-;1;3;3;1;1;-;1;2;-;2;1;-;-;1;1;-;36
"316890 TIROS";4;5;1;1;1;1;-;1;-;-;-;-;1;1;-;1;-;1;1;2;-;-;1;2;1;-;-;25
"316900 TOCANTINS";4;8;5;7;6;10;4;4;4;5;6;3;1;3;1;2;1;3;4;4;2;3;1;2;2;-;1;96
"316905 TOCOS DO MOJI";-;-;-;2;2;1;1;1;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"316910 TOLEDO";4;5;-;1;2;-;2;1;2;-;1;2;1;-;1;-;2;-;-;1;-;1;3;2;-;1;-;32
"316920 TOMBOS";2;5;2;3;5;2;1;3;3;1;3;2;-;1;2;1;-;-;-;-;1;1;-;2;2;-;1;43
"316930 TRES CORACOES";52;34;35;34;27;22;26;28;30;21;22;14;26;7;15;17;19;13;19;10;11;18;10;15;9;12;18;564
"316935 TRES MARIAS";3;7;7;6;10;6;4;4;6;8;4;5;5;4;2;3;2;9;5;8;2;4;2;2;5;2;5;130
"316940 TRES PONTAS";31;26;36;25;32;17;27;16;16;14;15;19;10;9;7;11;5;10;13;6;7;8;15;10;9;8;11;413
"316950 TUMIRITINGA";2;3;2;-;1;3;5;-;5;2;2;2;3;1;-;1;-;1;1;2;3;3;2;1;6;2;-;53
"316960 TUPACIGUARA";11;3;5;5;6;3;4;3;1;2;3;5;1;3;2;2;5;1;-;4;4;5;5;5;1;2;2;93
"316970 TURMALINA";5;8;4;4;5;9;1;1;3;6;8;5;4;2;7;4;2;3;1;2;1;2;2;2;4;3;1;99
"316980 TURVOLANDIA";2;1;3;4;2;1;1;1;-;1;1;-;1;-;5;1;1;1;1;1;2;1;-;1;2;-;-;34
"316990 UBA";44;42;39;40;25;33;27;31;26;25;27;21;25;25;16;15;17;10;15;15;11;20;8;9;15;14;16;611
"317000 UBAI";3;1;-;2;-;3;2;-;5;1;3;3;5;5;3;7;5;2;-;3;4;2;-;-;3;1;1;64
"317005 UBAPORANGA";4;4;3;4;1;6;3;-;-;6;1;2;1;5;-;2;1;3;4;4;-;1;2;4;3;2;2;68
"317010 UBERABA";86;87;98;66;73;58;60;50;53;68;53;47;41;43;39;58;42;50;44;51;38;42;43;61;40;44;48;1483
"317020 UBERLANDIA";126;109;115;129;122;98;80;83;89;106;112;99;94;110;95;91;76;76;95;83;102;87;97;96;74;78;72;2594
"317030 UMBURATIBA";-;-;-;-;-;-;2;1;-;1;2;1;-;-;2;1;-;-;1;2;-;1;1;1;1;2;-;19
"317040 UNAI";24;24;18;21;24;18;10;13;15;14;9;14;15;5;17;10;21;16;16;11;6;13;17;12;13;11;11;398
"317043 UNIAO DE MINAS";-;-;-;2;1;1;-;1;-;-;3;1;-;-;-;-;-;1;1;1;1;1;-;-;-;-;2;16
"317047 URUANA DE MINAS";-;1;-;1;-;1;-;-;1;1;-;1;1;-;-;-;2;-;1;-;2;1;-;-;-;1;-;14
"317050 URUCANIA";5;5;2;7;9;8;4;4;1;5;4;2;2;1;1;2;7;1;1;2;1;4;-;1;-;-;2;81
"317052 URUCUIA";2;-;3;-;3;2;1;4;4;3;1;2;3;4;8;2;-;1;2;5;1;2;1;-;2;-;2;58
"317057 VARGEM ALEGRE";-;1;1;4;2;7;1;4;4;2;5;1;2;-;2;1;3;-;1;1;1;1;1;1;-;-;-;46
"317060 VARGEM BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;1;-;-;-;2;7
"317065 VARGEM GRANDE DO RIO PARDO";-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;6
"317070 VARGINHA";44;27;47;35;21;35;31;30;24;14;21;22;16;11;9;12;12;16;14;24;19;19;21;14;17;20;23;598
"317075 VARJAO DE MINAS";-;1;3;-;-;2;1;4;-;1;1;2;-;1;3;1;3;1;1;3;1;1;2;3;1;-;1;37
"317080 VARZEA DA PALMA";13;19;15;12;23;9;5;6;15;7;8;6;9;5;14;4;4;13;4;5;8;2;8;2;4;4;7;231
"317090 VARZELANDIA";7;4;7;6;8;10;5;2;2;1;4;9;7;5;6;3;1;4;5;4;6;5;4;2;5;4;6;132
"317100 VAZANTE";2;6;7;1;2;4;1;-;2;1;2;4;3;3;3;4;3;4;2;5;4;6;2;5;3;5;2;86
"317103 VERDELANDIA";-;-;-;1;2;1;1;-;1;1;2;-;3;-;3;3;-;6;6;2;1;4;3;1;-;1;-;42
"317107 VEREDINHA";-;-;-;-;-;-;1;2;3;1;1;1;-;-;2;2;-;2;-;-;1;-;1;3;-;-;-;20
"317110 VERISSIMO";1;1;-;1;1;-;-;3;-;1;-;-;-;-;-;1;-;1;1;-;-;2;1;-;1;1;-;16
"317115 VERMELHO NOVO";-;3;2;2;1;2;-;-;1;2;2;1;-;1;1;2;1;2;-;4;-;2;1;1;1;-;-;32
"317120 VESPASIANO";62;55;59;38;35;31;34;22;27;26;13;24;16;12;28;11;19;25;17;17;15;24;27;13;20;17;26;713
"317130 VICOSA";9;9;27;34;27;20;21;16;17;16;21;11;11;12;18;19;6;7;9;11;8;12;8;13;9;4;5;380
"317140 VIEIRAS";-;-;-;-;1;1;-;1;1;1;-;-;2;-;1;-;2;-;-;1;1;-;-;-;-;-;-;12
"317150 MATHIAS LOBATO";-;-;-;-;1;1;-;1;1;1;2;1;-;2;5;1;-;-;2;-;1;-;-;2;-;1;-;22
"317160 VIRGEM DA LAPA";-;2;1;-;4;-;6;4;8;3;3;2;2;2;2;7;1;1;2;-;-;-;1;2;2;2;-;57
"317170 VIRGINIA";5;5;3;1;5;3;5;1;2;-;5;4;3;1;2;2;3;-;-;1;1;-;1;3;1;2;1;60
"317180 VIRGINOPOLIS";9;6;6;10;3;4;5;2;1;-;2;3;3;1;3;2;3;2;1;1;1;3;1;-;-;3;1;76
"317190 VIRGOLANDIA";-;2;2;-;-;-;-;1;1;2;1;2;2;-;2;1;1;-;1;-;-;1;1;-;-;-;2;22
"317200 VISCONDE DO RIO BRANCO";31;19;12;14;16;22;10;18;7;13;8;10;8;2;10;4;12;4;4;5;6;6;5;4;5;4;11;270
"317210 VOLTA GRANDE";1;4;2;1;1;1;1;1;1;2;2;1;-;-;-;1;1;-;2;-;1;1;1;1;1;-;-;27
"317220 WENCESLAU BRAZ";1;1;-;1;1;1;1;2;2;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;13
" MUNICIPIO IGNORADO - ES";88;124;132;36;-;2;-;-;-;-;-;1;2;1;1;2;-;-;-;-;-;1;-;1;-;-;2;393
"320010 AFONSO CLAUDIO";18;16;16;16;15;16;15;12;14;7;10;5;6;10;7;3;9;5;6;5;7;3;4;2;1;5;2;235
"320013 AGUIA BRANCA";3;-;2;-;1;-;3;2;3;6;1;1;4;3;3;1;1;1;1;-;-;1;3;-;2;1;3;46
"320016 AGUA DOCE DO NORTE";-;-;4;7;8;8;3;3;6;5;5;5;4;3;3;4;2;2;1;2;3;2;3;1;1;6;3;94
"320020 ALEGRE";24;22;12;10;16;11;6;16;12;13;6;4;8;3;5;6;5;6;7;8;4;2;3;5;6;4;5;229
"320030 ALFREDO CHAVES";3;1;1;3;-;1;2;1;2;-;1;-;2;3;2;2;-;2;3;4;1;-;1;4;-;1;-;40
"320035 ALTO RIO NOVO";-;4;1;3;3;8;4;2;2;2;3;2;5;3;2;1;-;4;-;1;1;-;2;-;-;3;2;58
"320040 ANCHIETA";6;4;4;8;4;2;6;4;5;11;3;2;2;3;4;4;3;5;2;5;4;-;6;2;2;4;6;111
"320050 APIACA";-;3;2;7;6;3;1;4;1;1;2;7;-;1;2;-;1;-;2;1;-;1;-;1;3;2;1;52
"320060 ARACRUZ";27;23;20;22;29;13;21;11;12;15;20;8;9;18;13;12;13;11;12;18;16;25;15;11;12;14;14;434
"320070 ATILIO VIVACQUA";1;3;4;1;1;5;7;4;1;-;4;4;-;3;4;4;4;1;3;3;2;-;3;2;3;-;3;70
"320080 BAIXO GUANDU";4;10;7;2;5;11;7;8;6;4;10;7;6;3;4;8;3;1;8;6;4;7;3;2;1;4;1;142
"320090 BARRA DE SAO FRANCISCO";11;23;10;17;13;14;17;10;14;7;13;10;10;8;7;11;11;9;5;7;7;7;5;10;3;12;9;280
"320100 BOA ESPERANCA";7;4;6;3;5;1;4;5;2;4;4;4;3;2;4;2;1;2;4;3;2;1;1;4;2;5;-;85
"320110 BOM JESUS DO NORTE";3;5;5;3;3;5;5;3;1;3;4;-;1;1;1;4;2;1;7;1;3;1;2;-;-;1;2;67
"320115 BREJETUBA";-;2;3;8;10;10;3;4;2;2;1;3;-;3;-;4;3;2;1;4;1;2;3;3;1;4;3;82
"320120 CACHOEIRO DE ITAPEMIRIM";58;51;73;72;68;64;59;61;55;52;43;46;55;32;36;34;34;29;35;37;38;30;37;38;12;27;38;1214
"320130 CARIACICA";144;139;108;121;124;92;109;97;91;87;82;74;88;66;79;68;71;74;77;71;66;66;69;68;52;53;52;2288
"320140 CASTELO";8;5;4;13;13;10;6;4;12;4;4;8;5;4;5;6;4;3;4;4;5;3;2;4;3;3;4;150
"320150 COLATINA";33;43;27;20;36;36;29;23;31;25;22;19;16;21;8;21;19;14;20;25;18;20;20;13;16;13;19;607
"320160 CONCEICAO DA BARRA";12;17;14;11;8;16;9;10;8;4;11;8;10;16;8;7;4;7;11;4;5;8;6;3;5;5;8;235
"320170 CONCEICAO DO CASTELO";4;2;5;6;2;5;6;5;4;5;2;3;1;4;-;3;4;1;2;-;3;1;-;3;1;2;3;77
"320180 DIVINO DE SAO LOURENCO";5;2;1;2;2;6;-;-;1;6;3;-;-;1;-;-;1;1;2;1;-;1;-;-;-;1;1;37
"320190 DOMINGOS MARTINS";6;3;8;10;3;8;7;5;2;7;4;7;3;4;2;4;7;5;6;2;9;5;2;2;4;9;5;139
"320200 DORES DO RIO PRETO";1;3;1;1;1;2;4;2;1;1;1;1;1;-;1;-;-;-;-;-;-;-;1;2;-;1;-;25
"320210 ECOPORANGA";7;13;6;5;10;13;7;7;11;6;7;3;3;4;2;4;6;4;7;1;2;7;5;6;7;3;1;157
"320220 FUNDAO";2;4;4;3;6;7;-;2;3;7;3;4;3;3;2;3;3;2;2;-;3;1;4;2;2;3;1;79
"320225 GOVERNADOR LINDENBERG";-;-;-;-;-;-;-;2;-;-;1;5;4;3;-;2;3;2;3;2;-;3;1;3;1;-;-;35
"320230 GUACUI";27;16;14;14;16;20;7;11;17;9;6;9;6;6;6;11;9;7;6;7;6;5;3;8;7;5;6;264
"320240 GUARAPARI";31;26;38;26;18;29;25;15;16;17;15;18;34;17;19;18;19;18;9;17;17;19;18;15;12;17;17;540
"320245 IBATIBA";9;5;6;12;5;8;4;11;5;6;4;8;9;1;6;8;1;2;4;6;2;3;1;6;1;3;2;138
"320250 IBIRACU";5;-;1;2;5;6;2;2;1;1;4;1;2;1;-;2;1;-;2;1;3;-;3;4;2;2;1;54
"320255 IBITIRAMA";10;2;6;4;2;6;4;3;5;3;4;3;3;4;1;2;1;-;1;1;1;2;2;1;1;2;3;77
"320260 ICONHA";-;2;2;2;7;3;4;1;5;2;2;-;1;3;2;2;1;-;1;1;1;1;4;-;-;1;2;50
"320265 IRUPI";2;2;5;6;3;6;6;3;2;6;9;2;6;5;3;1;-;2;1;1;1;2;1;-;5;4;5;89
"320270 ITAGUACU";2;4;1;1;2;2;1;3;3;3;-;3;1;2;4;2;-;4;1;4;3;2;2;2;-;-;1;53
"320280 ITAPEMIRIM";18;12;10;11;10;9;6;8;5;10;8;7;8;3;8;6;3;6;5;6;7;9;10;5;3;8;3;204
"320290 ITARANA";3;4;3;3;4;2;3;2;2;1;2;1;1;3;-;-;2;1;2;-;-;-;2;-;1;2;2;46
"320300 IUNA";22;13;14;19;24;19;14;15;8;11;9;15;8;6;2;6;10;5;7;5;6;2;2;4;2;4;2;254
"320305 JAGUARE";8;7;4;3;5;2;5;8;4;10;9;4;5;4;6;5;10;3;5;4;7;8;4;6;3;2;6;147
"320310 JERONIMO MONTEIRO";4;5;5;1;4;5;3;3;1;3;2;2;4;2;2;3;2;5;1;1;4;-;3;1;-;5;3;74
"320313 JOAO NEIVA";5;2;3;4;1;2;-;5;5;4;1;4;2;1;4;-;1;-;3;1;3;3;3;2;3;2;3;67
"320316 LARANJA DA TERRA";3;1;2;2;2;3;-;1;-;1;-;1;1;1;2;2;-;1;-;1;-;-;1;2;2;-;-;29
"320320 LINHARES";56;35;43;29;49;28;26;37;24;29;35;27;30;29;23;27;30;21;25;28;31;32;30;27;25;27;38;841
"320330 MANTENOPOLIS";10;8;7;4;6;4;2;5;6;3;4;2;2;1;4;4;1;2;2;3;2;1;-;-;2;1;-;86
"320332 MARATAIZES";-;6;11;12;6;7;15;13;5;13;4;5;11;8;5;5;6;6;9;4;8;5;5;6;6;9;3;193
"320334 MARECHAL FLORIANO";2;3;2;5;1;1;3;1;-;5;3;2;3;2;2;1;3;4;2;3;-;5;5;1;3;2;4;68
"320335 MARILANDIA";4;2;1;-;2;2;3;2;-;4;4;3;1;3;1;1;-;1;3;-;2;1;-;3;1;3;-;47
"320340 MIMOSO DO SUL";9;6;4;8;11;11;11;11;5;10;7;6;7;-;2;6;4;1;2;2;3;1;1;4;-;2;2;136
"320350 MONTANHA";7;6;10;10;5;12;5;4;5;3;5;-;9;1;5;3;2;7;3;5;2;2;2;5;2;2;-;122
"320360 MUCURICI";3;2;1;2;-;1;1;2;-;5;2;1;-;1;2;1;1;1;2;2;1;2;-;1;1;-;-;35
"320370 MUNIZ FREIRE";11;10;9;16;8;11;5;11;5;5;4;4;5;2;5;5;4;6;2;3;4;4;2;2;4;-;-;147
"320380 MUQUI";5;6;7;2;7;5;3;5;2;3;4;8;3;1;1;1;1;3;1;1;3;1;3;3;1;4;-;84
"320390 NOVA VENECIA";18;23;18;25;17;13;11;14;8;10;13;11;5;12;11;8;3;8;6;12;11;9;7;7;4;4;7;295
"320400 PANCAS";19;13;7;14;6;6;9;9;4;5;3;2;4;1;7;3;1;2;5;3;4;5;4;1;1;1;3;142
"320405 PEDRO CANARIO";34;15;25;11;16;19;14;14;9;14;15;10;8;8;7;7;6;6;6;3;5;4;3;5;4;8;4;280
"320410 PINHEIROS";10;11;6;7;7;12;10;9;6;3;5;9;8;6;7;3;5;5;6;4;1;4;4;3;3;5;5;164
"320420 PIUMA";3;3;2;1;8;2;1;6;6;1;3;1;9;-;2;1;3;3;2;5;6;2;1;4;8;2;2;87
"320425 PONTO BELO";-;-;-;2;3;4;4;2;-;1;2;1;3;1;-;-;1;2;4;-;-;-;3;-;-;-;3;36
"320430 PRESIDENTE KENNEDY";2;4;1;5;5;2;3;2;-;1;4;1;2;1;3;-;2;2;-;-;3;2;1;3;3;2;2;56
"320435 RIO BANANAL";1;6;4;3;4;2;2;3;2;3;2;2;3;-;4;2;1;5;3;3;2;1;1;2;3;3;3;70
"320440 RIO NOVO DO SUL";4;1;3;3;4;7;2;3;3;1;2;2;2;1;4;1;1;2;1;3;2;-;1;-;2;-;-;55
"320450 SANTA LEOPOLDINA";4;2;2;2;3;2;3;4;1;2;1;3;4;-;-;-;1;1;1;-;1;5;1;2;3;1;1;50
"320455 SANTA MARIA DE JETIBA";15;7;5;13;5;5;9;5;8;8;5;8;6;2;6;5;7;2;4;5;6;9;7;7;6;7;16;188
"320460 SANTA TERESA";6;6;4;6;5;12;2;6;3;6;2;2;5;6;2;2;1;3;2;4;1;5;4;4;-;4;2;105
"320465 SAO DOMINGOS DO NORTE";2;2;2;2;7;1;3;3;-;1;3;2;3;1;3;-;1;1;1;1;-;2;1;2;2;2;1;49
"320470 SAO GABRIEL DA PALHA";8;2;4;9;17;12;8;11;5;3;8;10;13;3;6;7;2;3;12;9;7;3;5;5;6;7;4;189
"320480 SAO JOSE DO CALCADO";5;7;6;3;7;3;7;6;4;1;4;1;2;3;1;3;1;-;3;-;2;3;1;2;3;1;-;79
"320490 SAO MATEUS";47;23;41;33;34;36;29;35;29;24;28;29;23;19;22;22;19;20;24;26;27;28;22;19;27;17;21;724
"320495 SAO ROQUE DO CANAA";-;-;-;-;3;1;1;2;1;1;2;1;5;1;-;1;4;1;1;2;1;-;2;3;1;1;-;35
"320500 SERRA";97;128;146;109;120;97;87;79;101;86;84;91;86;81;82;99;86;93;79;82;95;67;85;87;88;102;77;2514
"320501 SOORETAMA";-;6;7;9;10;8;7;6;9;7;4;5;10;1;7;3;3;1;4;9;3;4;7;9;8;4;9;160
"320503 VARGEM ALTA";4;6;5;1;3;9;6;7;6;2;6;5;1;6;1;2;3;4;4;4;5;3;4;2;5;3;6;113
"320506 VENDA NOVA DO IMIGRANTE";7;5;7;5;4;8;6;2;2;5;3;4;3;2;3;3;2;4;3;3;2;1;2;3;4;2;-;95
"320510 VIANA";19;20;19;21;10;14;17;14;15;17;17;11;10;10;13;6;12;11;9;17;11;7;16;11;6;12;5;350
"320515 VILA PAVAO";-;4;1;-;2;3;2;4;3;2;1;1;2;-;-;1;1;2;1;2;1;3;1;1;1;1;1;41
"320517 VILA VALERIO";-;4;2;3;5;5;3;1;5;3;2;2;3;3;2;2;5;5;-;3;1;1;2;1;2;3;2;70
"320520 VILA VELHA";123;80;93;113;125;110;105;73;80;101;93;67;70;65;58;62;66;63;81;84;62;64;65;72;72;76;51;2174
"320530 VITORIA";111;70;78;67;75;54;37;65;57;59;62;51;49;51;46;44;43;48;47;44;44;56;42;30;36;29;42;1437
" MUNICIPIO IGNORADO - RJ";290;202;145;108;75;91;71;55;59;51;34;30;18;28;18;19;16;20;17;8;8;7;1;4;1;4;2;1382
"330010 ANGRA DOS REIS";85;68;63;73;55;38;40;36;17;25;30;32;30;32;20;30;35;32;32;30;22;18;30;22;32;23;29;979
"330015 APERIBE";-;2;1;2;2;1;1;1;2;-;1;1;1;3;1;-;-;1;2;2;4;4;3;2;-;2;-;39
"330020 ARARUAMA";42;31;38;35;43;29;27;24;26;25;35;20;21;22;26;24;25;21;26;24;23;17;15;21;15;23;19;697
"330022 AREAL";2;4;4;9;4;5;2;3;3;2;3;6;5;1;-;1;2;1;-;3;4;7;4;4;-;1;2;82
"330023 ARMACAO DOS BUZIOS";-;8;4;5;11;7;9;4;7;9;15;2;10;4;6;4;5;9;8;5;8;8;7;6;9;7;4;181
"330025 ARRAIAL DO CABO";9;8;2;10;8;9;5;8;7;10;2;2;3;-;2;6;6;1;5;4;11;5;8;4;3;4;7;149
"330030 BARRA DO PIRAI";65;55;42;48;47;40;43;42;35;33;28;23;33;24;28;22;26;15;16;10;15;19;13;13;12;13;10;770
"330040 BARRA MANSA";81;71;79;61;71;51;51;31;44;25;25;24;26;37;26;29;29;23;28;20;21;25;16;30;20;19;26;989
"330045 BELFORD ROXO";283;252;247;243;260;208;187;165;161;163;134;118;115;114;91;109;111;103;106;105;120;92;101;85;100;93;90;3956
"330050 BOM JARDIM";9;11;6;10;7;6;5;2;10;5;4;3;2;6;3;4;5;3;4;3;7;4;4;5;4;7;1;140
"330060 BOM JESUS DO ITABAPOANA";9;11;19;11;11;9;13;12;8;10;7;10;3;7;7;8;7;7;7;7;6;4;6;9;5;6;6;225
"330070 CABO FRIO";95;78;69;62;51;46;22;42;42;41;37;38;31;35;31;30;30;35;47;28;26;43;36;40;26;40;26;1127
"330080 CACHOEIRAS DE MACACU";20;22;11;14;13;8;14;13;15;10;14;11;10;9;8;11;12;6;9;8;1;9;4;6;10;6;7;281
"330090 CAMBUCI";6;3;8;3;2;5;1;5;1;7;3;-;2;3;2;3;3;2;2;1;2;1;3;1;3;2;2;76
"330093 CARAPEBUS";-;3;5;3;6;2;3;4;-;1;2;1;2;-;-;3;2;1;5;2;4;2;2;-;-;2;2;57
"330095 COMENDADOR LEVY GASPARIAN";7;1;10;8;3;4;4;5;1;1;2;1;1;2;2;1;1;1;1;1;2;1;5;-;2;1;1;69
"330100 CAMPOS DOS GOYTACAZES";323;310;310;295;225;203;197;171;183;146;147;137;112;124;112;104;93;124;118;145;149;103;95;104;124;124;121;4399
"330110 CANTAGALO";11;12;7;10;6;6;11;3;7;4;4;5;5;5;5;3;7;3;5;12;3;1;4;4;4;3;1;151
"330115 CARDOSO MOREIRA";9;7;-;3;1;2;6;1;5;3;7;3;4;-;3;3;1;2;-;4;1;1;-;3;3;3;2;77
"330120 CARMO";9;7;8;7;5;8;6;9;7;6;4;1;3;7;5;10;4;2;2;3;3;2;4;3;3;-;1;129
"330130 CASIMIRO DE ABREU";3;9;11;9;6;1;7;3;3;6;6;6;5;3;7;3;8;6;4;10;9;5;5;4;4;4;6;153
"330140 CONCEICAO DE MACABU";6;15;5;6;8;14;11;3;2;4;4;6;7;2;5;9;2;4;2;2;3;2;4;6;4;8;4;148
"330150 CORDEIRO";13;12;17;13;6;12;3;12;3;6;3;6;5;4;2;1;5;3;2;4;3;5;4;2;1;2;2;151
"330160 DUAS BARRAS";3;4;8;8;8;5;6;5;1;5;4;2;1;-;3;2;4;1;3;-;2;-;-;2;-;-;3;80
"330170 DUQUE DE CAXIAS";441;428;365;374;311;250;283;274;256;229;206;214;189;216;183;220;232;181;194;185;214;195;193;201;209;177;172;6592
"330180 ENGENHEIRO PAULO DE FRONTIN";6;5;7;5;3;5;3;4;2;3;1;3;1;1;1;1;-;1;2;2;3;1;4;4;2;2;4;76
"330185 GUAPIMIRIM";18;21;20;14;13;10;16;11;10;14;11;13;9;10;6;11;5;13;10;4;9;7;17;4;5;5;7;293
"330187 IGUABA GRANDE";-;2;2;5;3;6;7;3;3;7;4;1;4;1;4;5;2;5;3;3;6;9;9;7;2;3;4;110
"330190 ITABORAI";106;102;80;65;70;50;78;56;67;61;48;57;52;39;42;37;61;34;37;42;37;32;37;44;26;35;25;1420
"330200 ITAGUAI";78;54;41;43;45;38;34;31;40;21;27;24;19;23;31;25;19;20;20;28;33;30;33;29;20;25;17;848
"330205 ITALVA";4;7;4;4;4;6;2;1;1;3;2;3;4;-;2;-;1;-;1;-;1;1;-;3;-;1;-;55
"330210 ITAOCARA";5;10;5;7;3;3;3;4;4;5;3;4;3;1;2;2;1;5;1;5;7;4;6;3;7;-;3;106
"330220 ITAPERUNA";39;30;48;36;32;22;20;26;25;19;30;17;16;11;11;13;13;3;11;11;14;13;11;15;13;8;14;521
