 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"120032 JORDAO";-;-;-;-;-;-;1;1;-;4;2;4;2;24;8;20;12;5;6;4;3;6;4;2;4;6;8;126
"120033 MANCIO LIMA";4;-;6;-;4;2;1;-;2;1;9;4;5;11;4;6;5;2;5;9;2;3;9;9;8;4;7;122
"120034 MANOEL URBANO";2;-;-;3;3;2;-;2;4;3;6;7;4;4;6;3;5;4;9;8;6;7;2;10;2;12;6;120
"120035 MARECHAL THAUMATURGO";-;1;5;5;1;-;5;2;-;5;2;3;2;6;5;5;7;5;14;7;6;11;8;9;3;7;3;127
"120038 PLACIDO DE CASTRO";6;8;4;3;3;16;7;5;7;5;5;6;5;7;2;3;2;6;2;8;2;3;5;2;7;4;1;134
"120039 PORTO WALTER";-;2;1;1;1;1;5;5;5;12;2;5;4;5;4;-;6;7;1;4;2;4;7;6;4;4;6;104
"120040 RIO BRANCO";285;229;254;238;232;184;161;171;164;149;135;155;125;116;117;90;79;95;107;101;85;74;93;70;86;95;80;3770
"120042 RODRIGUES ALVES";-;-;2;2;-;1;1;4;2;3;9;5;3;4;5;2;5;2;8;6;10;7;5;14;5;6;2;113
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;2;-;1;-;8;11;13;9;15;8;9;11;12;10;11;5;5;9;7;7;9;10;172
"120045 SENADOR GUIOMARD";3;2;8;4;10;6;8;4;8;9;7;7;8;3;3;7;9;6;9;6;2;5;5;4;6;7;5;161
"120050 SENA MADUREIRA";14;21;21;11;17;19;13;16;19;21;14;19;12;13;18;14;17;21;14;8;16;11;11;10;13;12;13;408
"120060 TARAUACA";5;1;22;17;65;32;25;26;37;33;27;34;36;36;22;21;28;23;26;35;22;26;18;25;23;24;24;713
"120070 XAPURI";5;6;9;4;4;3;5;5;5;12;6;4;8;2;7;3;4;4;2;4;6;1;4;4;6;4;2;129
"120080 PORTO ACRE";1;-;2;5;6;4;8;4;3;6;7;5;1;3;9;2;6;5;11;5;3;4;7;3;7;6;10;133
" MUNICIPIO IGNORADO - AM";3;12;2;1;-;1;-;-;2;1;-;1;2;-;-;-;-;-;1;-;-;-;-;1;1;-;1;29
"130002 ALVARAES";-;1;1;-;2;8;3;9;8;10;8;2;5;6;7;5;5;7;5;5;9;9;14;7;5;8;6;155
"130006 AMATURA";-;-;1;1;2;5;2;2;2;-;5;3;4;4;3;11;5;7;12;9;4;5;6;5;7;7;5;117
"130008 ANAMA";1;-;-;1;6;6;4;3;7;3;5;5;6;2;3;2;2;5;-;2;4;2;3;3;1;2;3;81
"130010 ANORI";-;5;5;6;2;5;5;7;4;6;9;7;8;8;3;4;3;6;4;3;4;5;7;5;4;5;2;132
"130014 APUI";1;12;7;3;2;5;7;3;6;2;9;1;7;6;3;2;6;4;4;4;3;2;2;5;3;6;4;119
"130020 ATALAIA DO NORTE";2;-;2;7;8;10;17;15;13;6;6;2;4;5;14;10;9;16;13;16;9;12;11;10;12;13;8;250
"130030 AUTAZES";1;6;9;10;17;20;17;16;8;16;13;9;4;12;11;5;12;10;10;9;8;14;10;5;11;14;18;295
"130040 BARCELOS";4;2;4;3;5;4;5;9;4;17;10;6;1;3;6;3;43;34;11;30;33;39;24;18;6;7;7;338
"130050 BARREIRINHA";1;-;5;2;10;9;14;11;16;8;9;13;22;18;12;12;8;13;21;9;16;13;13;15;11;18;8;307
"130060 BENJAMIN CONSTANT";-;-;-;8;8;11;16;15;5;8;15;14;8;17;27;15;28;33;19;35;16;19;14;22;14;15;21;403
"130063 BERURI";3;3;7;8;11;4;9;5;4;1;4;1;3;4;3;5;6;3;5;3;8;5;4;4;5;12;10;140
"130068 BOA VISTA DO RAMOS";-;2;1;11;10;11;13;8;5;7;4;4;10;6;3;3;1;3;4;5;3;4;3;9;7;7;2;146
"130070 BOCA DO ACRE";-;2;-;1;-;5;5;5;5;4;1;6;5;5;7;9;12;9;9;11;11;11;15;4;16;12;9;179
"130080 BORBA";-;6;5;7;6;14;16;13;16;22;10;16;11;9;8;8;7;13;11;7;13;11;8;13;6;17;11;284
"130083 CAAPIRANGA";-;-;3;-;3;8;4;4;2;2;-;3;3;1;1;3;1;2;2;3;1;5;1;6;6;7;3;74
"130090 CANUTAMA";6;10;6;2;1;5;3;5;9;6;7;2;7;4;5;4;1;2;3;5;5;5;6;9;4;1;3;126
"130100 CARAUARI";35;29;34;31;23;32;21;25;28;19;23;17;11;9;17;13;26;16;18;8;14;11;11;8;7;16;8;510
"130110 CAREIRO";1;2;2;8;6;5;2;7;8;9;3;5;4;2;6;7;9;1;1;9;6;6;9;4;8;11;8;149
"130115 CAREIRO DA VARZEA";1;-;-;-;5;9;3;4;1;4;4;5;2;6;6;5;5;2;-;3;-;1;6;3;1;2;-;78
"130120 COARI";6;21;13;23;29;37;36;53;37;40;33;35;38;33;25;34;20;28;31;22;21;30;20;28;22;15;30;760
"130130 CODAJAS";10;9;5;3;4;4;13;5;1;7;6;8;4;3;11;6;7;5;3;6;6;5;3;9;5;7;9;164
